■職場見学シチュエーションの質問集,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Catergory,Sub,question,notes,,,,,,,,,,,,,,,,,,,,,
総合,1,1,これまでのエンジニアとしての「経験」を簡単に説明してください。,,,,,,,,,,,,,,,,,,,,,,
,,2,その「経験」の中であなたの「得意分野（storong point）」を教えてください。,,,,,,,,,,,,,,,,,,,,,,
,,3,将来、どのようなエンジニアになりたいですか？,,,,,,,,,,,,,,,,,,,,,,
,,,またどのような仕事に就きたい（開発に携わりたい）と考えていますか？,,,,,,,,,,,,,,,,,,,,,,
技術,2,1,得意な開発言語は？またそのバージョンは？,,,,,,,,,,,,,,,,,,,,,,
,,2,開発の端末は日本語？英語？,,,,,,,,,,,,,,,,,,,,,,
,,3,経験したフェーズは？,,,,,,,,,,,,,,,,,,,,,,
,,,どこのフェーズが得意ですか？,,,,,,,,,,,,,,,,,,,,,,
,,4,設計書（詳細設計）を作成した事はありますか？,,,,,,,,,,,,,,,,,,,,,,
,,,設計のドキュメントは、何で作成していましたか？,,,,,,,,,,,,,,,,,,,,,,
,,5,開発は、ウォーターフォールですか？アジャイルですか？,,,,,,,,,,,,,,,,,,,,,,
,,6,フレームワークはどのようなものを使っていましたか？,,,,,,,,,,,,,,,,,,,,,,
,,7,サーバー自体を操作したことはありますか？,,,,,,,,,,,,,,,,,,,,,,
,,8,SQLはどの程度使えるか？,,,,,,,,,,,,,,,,,,,,,,
,,9,設計書を書く時のツールは？また、どのようなソフトを使ってましたか？,,,,,,,,,,,,,,,,,,,,,,
,,10,テストツールなど、ツール作成をしたことはありますか？,,,,,,,,,,,,,,,,,,,,,,
,,11,どのようなツールを作りましたか？,,,,,,,,,,,,,,,,,,,,,,
"役割
（ポジション）",3,1,業務上での自身のポジションはどのようなポジションでしたか？,,,,,,,,,,,,,,,,,,,,,,
,,2,今までにリーダーのポジションで仕事をしたことはありますか？,,,,,,,,,,,,,,,,,,,,,,
,,3,チームの人数は何名でしたか？,,,,,,,,,,,,,,,,,,,,,,
,,4,開発案件に関する「レビュー」をしたことはありますか？,,,,,,,,,,,,,,,,,,,,,,
,,5,技術力アップの為に何かしていることはありますか？,,,,,,,,,,,,,,,,,,,,,,
その他,4,1,日本に来た理由を教えてください。,,,,,,,,,,,,,,,,,,,,,,
,,2,なぜ日本就職を決めたのですか？,,,,,,,,,,,,,,,,,,,,,,
,,3,日本で興味のある、関心のあることは何ですか？,,,,,,,,,,,,,,,,,,,,,,
,,4,日本で行ってみたい場所はありますか？,,,,,,,,,,,,,,,,,,,,,,
,,5,日本でやってみたい（チャレンジしてみたい）ことはありますか？,,,,,,,,,,,,,,,,,,,,,,
,,6,日本に来て大変だった事は何ですか？（私生活上で、仕事上で）,,,,,,,,,,,,,,,,,,,,,,
,,7,日本語が通じないとき、理解が出来ないとき、どのように対応していますか？,わかるまで聞く。ドキュメントでもらうなど。,,,,,,,,,,,,,,,,,,,,,
,,8,技術で分からないことがあった場合、誰かに聞きたいが、その人が忙しい時どうしますか？,自分で調べる。聞きづらいけど自分から聞くなど。,,,,,,,,,,,,,,,,,,,,,
,,10,どこで日本語の勉強をしましたか？,,,,,,,,,,,,,,,,,,,,,,
,,11,今も日本語の勉強はしていますか？どれくらいの時間、勉強していますか？,,,,,,,,,,,,,,,,,,,,,,
,,12,日本人と仕事をした経験はありますか？,,,,,,,,,,,,,,,,,,,,,,
,,13,今までの経歴の中で、何が一番楽しかった仕事、興味があった仕事は何ですか？,,,,,,,,,,,,,,,,,,,,,,
